CDE;S;LIBC
AAFA001; ;EXÉRÈSE T. INTRAPARENCH CERVELET CRANIOT.
AAFA002; ;EXÉRÈSE T. INTRAPARENCH CERVEAU CRANIOT.
AAFA003; ;EXÉRÈSE LÉS. TR. CÉRÉB. CRANIOT.
AAFA004; ;HÉMISPHÉRECTOMIE FCT CRANIOT.
AAFA005; ;EXÉRÈSE LÉS. CORPS CALLEUX FORNIX/SEPTUM PELLUCIDE CRANIOT.
AAFA006; ;RÉSEC. PARENCHYME CÉRÉB. PR INFARCTUS EXPANSIF CRANIOT.
AAFA007; ;EXCISION 1ZONE ÉPILEPTOGÈNE CRANIOT.
AAFA008; ;RÉSEC. PARENCHYME CÉRÉBELLEUX PR INFARCTUS EXPANSIF CRANIOT.
AAGA001;S;ABLATION D.ELECTRODE CORTICALE CEREB CRANIOT
AAGA900; ;ABL. ÉLECTRODE CORTICALE CÉRÉB. CRANIOT.
AAGB001; ;ABLATION ÉLECTRODE INTRACÉRÉBRALE
AAJA001; ;ÉVAC. COLLECTION CÉRÉB. CRANIOT.
AAJA002; ;ÉVAC. HÉMATOME CÉRÉB. TRAUMA CRANIOT.
AAJA003; ;ÉVAC. HÉMATOME INTRACÉRÉBELLEUX CRANIOT.
AAJA004; ;ÉVAC. HÉMATOME CÉRÉB. NON TRAUMA CRANIOT.
AAJA005; ;ÉVAC. COLLECTION INTRACRÂN. POSTOP REPRISE CRANIOT.
AAJA006; ;PARAGE PLAIE CRANIOCÉRÉB.
AAJH001; ;ÉVAC. COLLECTION CÉRÉB. TRANSCRÂN. GUID SCAN
AAJH002; ;ÉVAC. HÉMATOME CÉRÉB. NON TRAUMA TRANSCRÂN. GUID SCAN
AAJH003; ;ÉVAC. COLLECTION CÉRÉB. TRANSCRÂN. GUID RADIO
AAJH004; ;ÉVAC. HÉMATOME CÉRÉB. NON TRAUMA TRANSCRÂN. GUID RADIO
AAKA001; ;CHANGT 1GÉNÉRATEUR SSCUT STIMUL. CÉRÉB.
AALA001;S;IMPLANT D.ELECTRODE CORTICALE CEREB THERAP CRANIOT
AALA002; ;IMPLANT. ÉLECTRODE SUBDURALE PR ECOG CRANIOT.
AALA003;S;PERFUSION PEROP PROTECTION PARENCHYME ENCEPH
AALA004; ;IMPLANT. SSCUT 1GÉNÉRATEUR STIMUL. CÉRÉB.
AALA900; ;IMPLANT. ÉLECTRODE CORTICALE CÉRÉB. THÉRAP. CRANIOT.
AALB001; ;IMPLANT. ÉLECTRODE CÉRÉB. THÉRAP. STÉRÉOTAX.
AALB002; ;IMPLANT. ÉLECTRODE CÉRÉB. PR EEG STÉRÉOTAX.
AALF002; ;PERF. PEROP. PROTECTION PARENCHYME ENCÉPH. PDT 1ITV +CEC
AAMP003; ;RÉGLAGE SECOND DES PARAMÈTRES CHAQUE PLOT SYST STIMUL CÉRÉBR PROF
AAMP173; ;RÉGLAGE SECOND PLUS. PARAMÈTRES SYST STIMUL CÉRÉBR PROF
AAMP387; ;RÉGLAGE SECOND 1PARAMÈTRE SYST STIMUL CÉRÉBR PROF
AANB001; ;DESTRUC. 1CIBLE CÉRÉB. À VISÉE FCT STÉRÉOTAX.
AANL001;S;IRRAD. ENCÉPH. STÉRÉOTAXIQ +CADRE EFFRACTIF DOSE UNIQUE
AANL002;S;SÉANCE IRRAD. ENCÉPH. STÉRÉOTAXIQ +CADRE NON EFFRACTIF FRACTIONNÉE
AAPA001;S;CALLOSOTOMIE FCT CRANIOT
AAPA002;S;ISOLEMENT ZONE EPILEPTOGENE CRANIOT
AAPA900; ;DÉCONNEXION 1ZONE ÉPILEPTOGÈNE CRANIOT.
AAQM002; ;ÉCHO TRANSFONTANELLAIRE ENCÉPHALE
